file name,scn,smp,ech,dur,viw,sli,fov,sub,,slices
fs_0001_1_5T.h5,15avan,fs,asy,shr,lax,ind,noa,vol,,1
fs_0002_1_5T.h5,15avan,fs,asy,shr,lax,ind,noa,vol,,1
fs_0003_1_5T.h5,15avan,fs,asy,shr,lax,ind,noa,vol,,1
fs_0004_1_5T.h5,15avan,fs,asy,shr,sax,ind,noa,vol,,1
fs_0005_1_5T.h5,15avan,fs,asy,shr,sax,ind,noa,vol,,1
fs_0006_1_5T.h5,15avan,fs,asy,shr,sax,ind,noa,vol,,1
fs_0007_1_5T.h5,15avan,fs,sym,shr,lax,ind,noa,vol,,1
fs_0008_1_5T.h5,15avan,fs,sym,shr,lax,ind,noa,vol,,1
fs_0009_1_5T.h5,15avan,fs,sym,shr,sax,ind,noa,vol,,1
fs_0010_1_5T.h5,15avan,fs,sym,shr,sax,ind,noa,vol,,1
fs_0011_1_5T.h5,15avan,fs,sym,shr,sax,ind,noa,vol,,1
fs_0012_3T.h5,30pris,fs,sym,shr,sax,stk,noa,vol,,11
fs_0013_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0014_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0015_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0016_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0017_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0018_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0019_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0020_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0021_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0022_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0023_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0024_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0025_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0026_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0027_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0028_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0029_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0030_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0031_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0032_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0033_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0034_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0035_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0036_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0037_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0038_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0039_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0040_3T.h5,30pris,fs,sym,shr,sax,ind,noa,vol,,1
fs_0041_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0042_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0043_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0044_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0045_3T.h5,30pris,fs,sym,shr,sax,stk,noa,vol,,10
fs_0046_3T.h5,30pris,fs,sym,shr,lax,ind,noa,vol,,1
fs_0047_3T.h5,30pris,fs,asy,shr,lax,ind,noa,vol,,1
fs_0048_3T.h5,30pris,fs,asy,shr,lax,ind,noa,vol,,1
fs_0049_3T.h5,30pris,fs,asy,shr,lax,ind,noa,vol,,1
fs_0050_1_5T.h5,15sola,fs,sym,shr,lax,ind,noa,vol,,1
fs_0051_1_5T.h5,15sola,fs,sym,shr,lax,ind,noa,vol,,1
fs_0052_1_5T.h5,15sola,fs,sym,shr,lax,ind,noa,vol,,1
fs_0053_1_5T.h5,15sola,fs,sym,shr,sax,stk,noa,vol,,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
us_0001_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0002_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0003_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0004_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0005_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0006_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0007_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0008_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0009_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0010_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0011_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0012_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0013_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0014_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0015_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0016_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0017_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0018_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0019_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0020_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0021_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0022_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
